_id,flight._id,flight.FlightID,flight.Airline,flight.ScheduledDeparture,flight.ActualDeparture,flight.Gate,flight.DelayMinutes,flight.DeparturePlace,flight.DestinationPlace,baggage[0]._id,baggage[1]._id,baggage[2]._id,baggage[3]._id,baggage[4]._id,baggage[5]._id,baggage[6]._id,baggage[7]._id,baggage[8]._id,baggage[9]._id,baggage[10]._id,baggage[11]._id,baggage[12]._id,baggage[13]._id,baggage[14]._id,baggage[15]._id,baggage[0].BagID,baggage[1].BagID,baggage[2].BagID,baggage[3].BagID,baggage[4].BagID,baggage[5].BagID,baggage[6].BagID,baggage[7].BagID,baggage[8].BagID,baggage[9].BagID,baggage[10].BagID,baggage[11].BagID,baggage[12].BagID,baggage[13].BagID,baggage[14].BagID,baggage[15].BagID,baggage[0].PassengerID,baggage[1].PassengerID,baggage[2].PassengerID,baggage[3].PassengerID,baggage[4].PassengerID,baggage[5].PassengerID,baggage[6].PassengerID,baggage[7].PassengerID,baggage[8].PassengerID,baggage[9].PassengerID,baggage[10].PassengerID,baggage[11].PassengerID,baggage[12].PassengerID,baggage[13].PassengerID,baggage[14].PassengerID,baggage[15].PassengerID,baggage[0].FlightID,baggage[1].FlightID,baggage[2].FlightID,baggage[3].FlightID,baggage[4].FlightID,baggage[5].FlightID,baggage[6].FlightID,baggage[7].FlightID,baggage[8].FlightID,baggage[9].FlightID,baggage[10].FlightID,baggage[11].FlightID,baggage[12].FlightID,baggage[13].FlightID,baggage[14].FlightID,baggage[15].FlightID,baggage[0].LoadStatus,baggage[1].LoadStatus,baggage[2].LoadStatus,baggage[3].LoadStatus,baggage[4].LoadStatus,baggage[5].LoadStatus,baggage[6].LoadStatus,baggage[7].LoadStatus,baggage[8].LoadStatus,baggage[9].LoadStatus,baggage[10].LoadStatus,baggage[11].LoadStatus,baggage[12].LoadStatus,baggage[13].LoadStatus,baggage[14].LoadStatus,baggage[15].LoadStatus,last_updated,passengers[0]._id,passengers[1]._id,passengers[2]._id,passengers[3]._id,passengers[4]._id,passengers[5]._id,passengers[6]._id,passengers[7]._id,passengers[0].PassengerID,passengers[1].PassengerID,passengers[2].PassengerID,passengers[3].PassengerID,passengers[4].PassengerID,passengers[5].PassengerID,passengers[6].PassengerID,passengers[7].PassengerID,passengers[0].FlightID,passengers[1].FlightID,passengers[2].FlightID,passengers[3].FlightID,passengers[4].FlightID,passengers[5].FlightID,passengers[6].FlightID,passengers[7].FlightID,passengers[0].CheckInTime,passengers[1].CheckInTime,passengers[2].CheckInTime,passengers[3].CheckInTime,passengers[4].CheckInTime,passengers[5].CheckInTime,passengers[6].CheckInTime,passengers[7].CheckInTime,passengers[0].BoardingPassIssued,passengers[1].BoardingPassIssued,passengers[2].BoardingPassIssued,passengers[3].BoardingPassIssued,passengers[4].BoardingPassIssued,passengers[5].BoardingPassIssued,passengers[6].BoardingPassIssued,passengers[7].BoardingPassIssued,passengers[0].Gate,passengers[1].Gate,passengers[2].Gate,passengers[3].Gate,passengers[4].Gate,passengers[5].Gate,passengers[6].Gate,passengers[7].Gate
68bdee8a245a927ffb268ee1,68bb1b77f209a8b6c3314ae2,FL1003,Air India,2025-08-28 06:30:00,2025-08-28 06:30:00,G6,0,Dubai,Toronto,68bb1daff209a8b6c3314f4c,68bdeea46d2564f9a09da467,,,,,,,,,,,,,,,BAG1133,BAG1133,,,,,,,,,,,,,,,PAX1253,PAX1253,,,,,,,,,,,,,,,FL1003,FL1003,,,,,,,,,,,,,,,Not Loaded,Not Loaded,,,,,,,,,,,,,,,2025-09-08 02:14:46,68bb1cf0f209a8b6c3314dd0,68bdeebe6d2564f9a09da5e1,,,,,,,PAX1253,PAX1253,,,,,,,FL1003,FL1003,,,,,,,2025-08-28 04:04:00,2025-08-28 04:04:00,,,,,,,false,false,,,,,,,G6,G6,,,,,,
68bdee8a245a927ffb268ee2,68bb1c01f209a8b6c3314bf4,FL1277,Turkish Airlines,2025-09-02 23:30:00,2025-09-03 00:30:00,G17,60,Dubai,Bangkok,68bb1d6ef209a8b6c3314eca,68bb1ddff209a8b6c3314fac,68bdee8a6d2564f9a09da2f0,68bdeeb76d2564f9a09da587,,,,,,,,,,,,,BAG1003,BAG1229,BAG1003,BAG1229,,,,,,,,,,,,,PAX1219,PAX1219,PAX1219,PAX1219,,,,,,,,,,,,,FL1277,FL1277,FL1277,FL1277,,,,,,,,,,,,,Not Loaded,Loaded,Not Loaded,Loaded,,,,,,,,,,,,,2025-09-08 02:14:51,68bb1cdff209a8b6c3314dae,68bb1cf8f209a8b6c3314de0,68bdeeb76d2564f9a09da57f,68bdeec16d2564f9a09da614,,,,,PAX1219,PAX1269,PAX1219,PAX1269,,,,,FL1277,FL1277,FL1277,FL1277,,,,,2025-09-02 22:19:00,2025-09-02 20:32:00,2025-09-02 22:19:00,2025-09-02 20:32:00,,,,,false,true,false,true,,,,,G17,G17,G17,G17,,,,
68bdee8b245a927ffb268ee3,68bb1b78f209a8b6c3314ae3,FL1004,Singapore Airlines,2025-08-28 07:00:00,2025-08-28 07:15:00,G15,15,Dubai,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:13:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bdee8b245a927ffb268ee4,68bb1ba4f209a8b6c3314b3a,FL1091,British Airways,2025-08-30 02:30:00,2025-08-30 03:30:00,G17,60,Dubai,Singapore,68bb1e15f209a8b6c3315017,68bdeece6d2564f9a09da6cc,,,,,,,,,,,,,,,BAG1336,BAG1336,,,,,,,,,,,,,,,PAX1005,PAX1005,,,,,,,,,,,,,,,FL1091,FL1091,,,,,,,,,,,,,,,Missing,Missing,,,,,,,,,,,,,,,2025-09-08 02:15:02,68bb1c74f209a8b6c3314cd8,68bdee8a6d2564f9a09da2f2,,,,,,,PAX1005,PAX1005,,,,,,,FL1091,FL1091,,,,,,,2025-08-30 01:46:00,2025-08-30 01:46:00,,,,,,,true,true,,,,,,,G17,G17,,,,,,
68bdee8b245a927ffb268ee5,68bb1c55f209a8b6c3314c9c,FL1445,Turkish Airlines,2025-09-06 11:30:00,2025-09-06 12:05:00,G13,35,Dubai,Paris,68bb1d6ef209a8b6c3314ecb,68bb1db4f209a8b6c3314f55,68bdee8a6d2564f9a09da2f3,68bdeea66d2564f9a09da481,,,,,,,,,,,,,BAG1004,BAG1142,BAG1004,BAG1142,,,,,,,,,,,,,PAX1069,PAX1069,PAX1069,PAX1069,,,,,,,,,,,,,FL1445,FL1445,FL1445,FL1445,,,,,,,,,,,,,Loaded,Not Loaded,Loaded,Not Loaded,,,,,,,,,,,,,2025-09-08 02:15:25,68bb1c94f209a8b6c3314d18,68bdee986d2564f9a09da3b9,,,,,,,PAX1069,PAX1069,,,,,,,FL1445,FL1445,,,,,,,2025-09-06 10:57:00,2025-09-06 10:57:00,,,,,,,true,true,,,,,,,G13,G13,,,,,,
68bdee8b245a927ffb268ee6,68bb1b78f209a8b6c3314ae4,FL1005,Lufthansa,2025-08-28 07:30:00,2025-08-28 08:05:00,G5,35,Dubai,Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:13:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bdee8b245a927ffb268ee7,68bb1bf7f209a8b6c3314be1,FL1258,Etihad,2025-09-02 14:00:00,2025-09-02 14:20:00,G11,20,Dubai,New York,68bb1d6ff209a8b6c3314ecc,68bdee8a6d2564f9a09da2f6,,,,,,,,,,,,,,,BAG1005,BAG1005,,,,,,,,,,,,,,,PAX1470,PAX1470,,,,,,,,,,,,,,,FL1258,FL1258,,,,,,,,,,,,,,,Loaded,Loaded,,,,,,,,,,,,,,,2025-09-08 02:15:30,68bb1ca6f209a8b6c3314d3d,68bb1d5df209a8b6c3314ea9,68bdee9f6d2564f9a09da429,68bdeeea6d2564f9a09da867,,,,,PAX1106,PAX1470,PAX1106,PAX1470,,,,,FL1258,FL1258,FL1258,FL1258,,,,,2025-09-02 12:09:00,2025-09-02 12:54:00,2025-09-02 12:09:00,2025-09-02 12:54:00,,,,,false,true,false,true,,,,,G11,G11,G11,G11,,,,
68bdee8b245a927ffb268ee8,68bb1bfaf209a8b6c3314be7,FL1264,Air India,2025-09-02 17:00:00,2025-09-02 17:10:00,G10,10,Dubai,Los Angeles,68bb1e4af209a8b6c3315080,68bdeee46d2564f9a09da80e,,,,,,,,,,,,,,,BAG1441,BAG1441,,,,,,,,,,,,,,,PAX1006,PAX1006,,,,,,,,,,,,,,,FL1264,FL1264,,,,,,,,,,,,,,,Not Loaded,Not Loaded,,,,,,,,,,,,,,,2025-09-08 02:15:24,68bb1c74f209a8b6c3314cd9,68bb1c9bf209a8b6c3314d26,68bdee8a6d2564f9a09da2f5,68bdee9b6d2564f9a09da3e2,,,,,PAX1006,PAX1083,PAX1006,PAX1083,,,,,FL1264,FL1264,FL1264,FL1264,,,,,2025-09-02 16:21:00,2025-09-02 15:11:00,2025-09-02 16:21:00,2025-09-02 15:11:00,,,,,true,true,true,true,,,,,G10,G10,G10,G10,,,,
68bdee8b245a927ffb268ee9,68bb1b79f209a8b6c3314ae5,FL1006,Qatar Airways,2025-08-28 08:00:00,2025-08-28 08:40:00,G19,40,Dubai,Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:14:30,68bb1ccaf209a8b6c3314d84,68bdeeae6d2564f9a09da501,,,,,,,PAX1177,PAX1177,,,,,,,FL1006,FL1006,,,,,,,2025-08-28 05:48:00,2025-08-28 05:48:00,,,,,,,true,true,,,,,,,G19,G19,,,,,,
68bdee8b245a927ffb268eea,68bb1bfdf209a8b6c3314bec,FL1269,Lufthansa,2025-09-02 19:30:00,2025-09-02 19:50:00,G6,20,Dubai,Hong Kong,68bb1d6ff209a8b6c3314ecd,68bdee8b6d2564f9a09da2f8,,,,,,,,,,,,,,,BAG1006,BAG1006,,,,,,,,,,,,,,,PAX1071,PAX1071,,,,,,,,,,,,,,,FL1269,FL1269,,,,,,,,,,,,,,,Loaded,Loaded,,,,,,,,,,,,,,,2025-09-08 02:14:49,68bb1c95f209a8b6c3314d1a,68bdee986d2564f9a09da3bf,,,,,,,PAX1071,PAX1071,,,,,,,FL1269,FL1269,,,,,,,2025-09-02 17:11:00,2025-09-02 17:11:00,,,,,,,true,true,,,,,,,G6,G6,,,,,,
68bdee8b245a927ffb268eeb,68bb1c33f209a8b6c3314c57,FL1376,British Airways,2025-09-05 01:00:00,2025-09-05 01:25:00,G4,25,Dubai,Mumbai,68bb1dd3f209a8b6c3314f93,68bb1e4ff209a8b6c331508a,68bdeeb26d2564f9a09da53b,68bdeee66d2564f9a09da82d,,,,,,,,,,,,,BAG1204,BAG1451,BAG1204,BAG1451,,,,,,,,,,,,,PAX1007,PAX1025,PAX1007,PAX1025,,,,,,,,,,,,,FL1376,FL1376,FL1376,FL1376,,,,,,,,,,,,,Missing,Not Loaded,Missing,Not Loaded,,,,,,,,,,,,,2025-09-08 02:15:26,68bb1c75f209a8b6c3314cda,68bb1c7ef209a8b6c3314cec,68bdee8b6d2564f9a09da2f9,68bdee8e6d2564f9a09da331,,,,,PAX1007,PAX1025,PAX1007,PAX1025,,,,,FL1376,FL1376,FL1376,FL1376,,,,,2025-09-04 22:49:00,2025-09-04 23:22:00,2025-09-04 22:49:00,2025-09-04 23:22:00,,,,,true,true,true,true,,,,,G4,G4,G4,G4,,,,
68bdee8b245a927ffb268eec,68bb1b79f209a8b6c3314ae6,FL1007,Etihad,2025-08-28 08:30:00,2025-08-28 09:10:00,G6,40,Dubai,New York,68bb1e17f209a8b6c331501b,68bdeecf6d2564f9a09da6d8,,,,,,,,,,,,,,,BAG1340,BAG1340,,,,,,,,,,,,,,,PAX1304,PAX1304,,,,,,,,,,,,,,,FL1007,FL1007,,,,,,,,,,,,,,,Loaded,Loaded,,,,,,,,,,,,,,,2025-09-08 02:15:03,68bb1d0af209a8b6c3314e03,68bdeec86d2564f9a09da67b,,,,,,,PAX1304,PAX1304,,,,,,,FL1007,FL1007,,,,,,,2025-08-28 05:53:00,2025-08-28 05:53:00,,,,,,,false,false,,,,,,,G6,G6,,,,,,
68bdee8b245a927ffb268eed,68bb1c33f209a8b6c3314c58,FL1377,British Airways,2025-09-05 01:30:00,2025-09-05 01:30:00,G14,0,Dubai,Doha,68bb1d70f209a8b6c3314ece,68bb1df8f209a8b6c3314fdd,68bb1e0af209a8b6c3315001,68bdee8b6d2564f9a09da2fb,68bdeec16d2564f9a09da618,68bdeec96d2564f9a09da689,,,,,,,,,,,BAG1007,BAG1278,BAG1314,BAG1007,BAG1278,BAG1314,,,,,,,,,,,PAX1237,PAX1237,PAX1237,PAX1237,PAX1237,PAX1237,,,,,,,,,,,FL1377,FL1377,FL1377,FL1377,FL1377,FL1377,,,,,,,,,,,Loaded,Not Loaded,Missing,Loaded,Not Loaded,Missing,,,,,,,,,,,2025-09-08 02:15:11,68bb1ce8f209a8b6c3314dc0,68bdeeba6d2564f9a09da5b1,,,,,,,PAX1237,PAX1237,,,,,,,FL1377,FL1377,,,,,,,2025-09-04 23:29:00,2025-09-04 23:29:00,,,,,,,true,true,,,,,,,G14,G14,,,,,,
68bdee8b245a927ffb268eee,68bb1c5cf209a8b6c3314caa,FL1459,Emirates,2025-09-06 18:30:00,2025-09-06 18:55:00,G13,25,Dubai,Zurich,68bb1e66f209a8b6c33150b9,68bdeef06d2564f9a09da8b9,,,,,,,,,,,,,,,BAG1498,BAG1498,,,,,,,,,,,,,,,PAX1325,PAX1325,,,,,,,,,,,,,,,FL1459,FL1459,,,,,,,,,,,,,,,Not Loaded,Not Loaded,,,,,,,,,,,,,,,2025-09-08 02:15:36,68bb1c75f209a8b6c3314cdb,68bb1d14f209a8b6c3314e18,68bdee8b6d2564f9a09da2fc,68bdeecd6d2564f9a09da6ba,,,,,PAX1008,PAX1325,PAX1008,PAX1325,,,,,FL1459,FL1459,FL1459,FL1459,,,,,2025-09-06 17:55:00,2025-09-06 17:27:00,2025-09-06 17:55:00,2025-09-06 17:27:00,,,,,false,false,false,false,,,,,G13,G13,G13,G13,,,,
68bdee8b245a927ffb268eef,68bb1b7af209a8b6c3314ae7,FL1008,Qatar Airways,2025-08-28 09:00:00,2025-08-28 09:35:00,G1,35,Dubai,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08 02:13:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
