FlightID,Airline,ScheduledDeparture,ActualDeparture,Gate,DelayMinutes,DeparturePlace,DestinationPlace
FL1209,Etihad,2025-09-01 13:30:00,2025-09-01 13:55:00,G4,25,Dubai,Bangkok
FL1210,Singapore Airlines,2025-09-01 14:00:00,2025-09-01 14:00:00,G12,0,Dubai,Paris
FL1211,Air India,2025-09-01 14:30:00,2025-09-01 15:10:00,G16,40,Dubai,Amsterdam
FL1212,Lufthansa,2025-09-01 15:00:00,2025-09-01 16:00:00,G4,60,Dubai,Rome
FL1213,Lufthansa,2025-09-01 15:30:00,2025-09-01 16:00:00,G12,30,Dubai,Zurich
FL1214,Turkish Airlines,2025-09-01 16:00:00,2025-09-01 16:20:00,G7,20,Dubai,Doha
FL1215,Air India,2025-09-01 16:30:00,2025-09-01 16:55:00,G10,25,Dubai,London
FL1216,Etihad,2025-09-01 17:00:00,2025-09-01 17:20:00,G2,20,Dubai,Hong Kong
FL1217,Singapore Airlines,2025-09-01 17:30:00,2025-09-01 17:40:00,G9,10,Dubai,Rome
FL1218,Emirates,2025-09-01 18:00:00,2025-09-01 18:15:00,G13,15,Dubai,Doha
FL1219,Lufthansa,2025-09-01 18:30:00,2025-09-01 18:30:00,G6,0,Dubai,London
FL1220,Turkish Airlines,2025-09-01 19:00:00,2025-09-01 19:10:00,G16,10,Dubai,Singapore
FL1221,Lufthansa,2025-09-01 19:30:00,2025-09-01 20:00:00,G10,30,Dubai,Zurich
FL1222,Turkish Airlines,2025-09-01 20:00:00,2025-09-01 20:35:00,G6,35,Dubai,Mumbai
FL1223,Singapore Airlines,2025-09-01 20:30:00,2025-09-01 20:45:00,G20,15,Dubai,Tokyo
FL1224,Etihad,2025-09-01 21:00:00,2025-09-01 21:35:00,G6,35,Dubai,Frankfurt
FL1225,Etihad,2025-09-01 21:30:00,2025-09-01 21:40:00,G10,10,Dubai,Los Angeles
FL1226,Emirates,2025-09-01 22:00:00,2025-09-01 22:15:00,G5,15,Dubai,Istanbul
FL1227,Air India,2025-09-01 22:30:00,2025-09-01 22:40:00,G6,10,Dubai,Hong Kong
FL1228,Turkish Airlines,2025-09-01 23:00:00,2025-09-01 23:30:00,G13,30,Dubai,Sydney
FL1229,Qatar Airways,2025-09-01 23:30:00,2025-09-02 00:10:00,G9,40,Dubai,New York
FL1230,Etihad,2025-09-02 00:00:00,2025-09-02 00:15:00,G19,15,Dubai,Mumbai
FL1231,British Airways,2025-09-02 00:30:00,2025-09-02 00:30:00,G10,0,Dubai,Singapore
FL1232,Etihad,2025-09-02 01:00:00,2025-09-02 01:20:00,G13,20,Dubai,Los Angeles
FL1233,Qatar Airways,2025-09-02 01:30:00,2025-09-02 01:30:00,G17,0,Dubai,Zurich
FL1234,Etihad,2025-09-02 02:00:00,2025-09-02 03:00:00,G10,60,Dubai,Mumbai
FL1235,Singapore Airlines,2025-09-02 02:30:00,2025-09-02 03:10:00,G7,40,Dubai,Zurich
FL1236,Etihad,2025-09-02 03:00:00,2025-09-02 03:00:00,G18,0,Dubai,Paris
FL1237,Singapore Airlines,2025-09-02 03:30:00,2025-09-02 04:10:00,G4,40,Dubai,Sydney
FL1238,Singapore Airlines,2025-09-02 04:00:00,2025-09-02 04:25:00,G1,25,Dubai,Mumbai
FL1239,Emirates,2025-09-02 04:30:00,2025-09-02 05:05:00,G5,35,Dubai,London
FL1240,Turkish Airlines,2025-09-02 05:00:00,2025-09-02 05:25:00,G4,25,Dubai,Hong Kong
FL1241,Air India,2025-09-02 05:30:00,2025-09-02 05:45:00,G14,15,Dubai,Singapore
FL1242,Turkish Airlines,2025-09-02 06:00:00,2025-09-02 06:30:00,G9,30,Dubai,Tokyo
FL1243,Lufthansa,2025-09-02 06:30:00,2025-09-02 06:45:00,G14,15,Dubai,Hong Kong
FL1244,Singapore Airlines,2025-09-02 07:00:00,2025-09-02 07:15:00,G6,15,Dubai,Delhi
FL1245,Singapore Airlines,2025-09-02 07:30:00,2025-09-02 07:40:00,G4,10,Dubai,Rome
FL1246,Singapore Airlines,2025-09-02 08:00:00,2025-09-02 08:15:00,G7,15,Dubai,Delhi
FL1247,Lufthansa,2025-09-02 08:30:00,2025-09-02 08:55:00,G5,25,Dubai,Zurich
FL1248,Etihad,2025-09-02 09:00:00,2025-09-02 09:35:00,G2,35,Dubai,Bangkok
FL1249,Etihad,2025-09-02 09:30:00,2025-09-02 09:30:00,G10,0,Dubai,Delhi
FL1250,Lufthansa,2025-09-02 10:00:00,2025-09-02 10:35:00,G17,35,Dubai,Singapore
FL1251,Emirates,2025-09-02 10:30:00,2025-09-02 11:10:00,G4,40,Dubai,Hong Kong
FL1252,Lufthansa,2025-09-02 11:00:00,2025-09-02 11:35:00,G16,35,Dubai,Bangkok
FL1253,Turkish Airlines,2025-09-02 11:30:00,2025-09-02 12:30:00,G13,60,Dubai,Delhi
FL1254,Emirates,2025-09-02 12:00:00,2025-09-02 12:40:00,G3,40,Dubai,Sydney
FL1255,Turkish Airlines,2025-09-02 12:30:00,2025-09-02 12:45:00,G10,15,Dubai,Bangkok
FL1256,Qatar Airways,2025-09-02 13:00:00,2025-09-02 13:00:00,G6,0,Dubai,Rome
FL1257,Emirates,2025-09-02 13:30:00,2025-09-02 14:00:00,G4,30,Dubai,Toronto
FL1258,Etihad,2025-09-02 14:00:00,2025-09-02 14:20:00,G11,20,Dubai,New York
FL1259,Turkish Airlines,2025-09-02 14:30:00,2025-09-02 14:40:00,G20,10,Dubai,Zurich
FL1260,Emirates,2025-09-02 15:00:00,2025-09-02 15:40:00,G13,40,Dubai,Singapore
FL1261,Lufthansa,2025-09-02 15:30:00,2025-09-02 16:10:00,G20,40,Dubai,Delhi
FL1262,British Airways,2025-09-02 16:00:00,2025-09-02 16:00:00,G14,0,Dubai,Zurich
