OrderID,RiderID,StoreID,ItemID,DispatchLocation,DeliveryLocation,OrderTime,ExpectedDeliveryTime,ActualDeliveryTime
O67,R91,S6,Juice,"Janakpuri, Delhi",Janakpuri West,2025-09-09 21:45:24,2025-09-09 22:07:24,2025-09-09 22:33:24
O68,R55,S8,Bread,"Janakpuri, Delhi",Janakpuri West,2025-09-04 18:45:24,2025-09-04 19:05:24,2025-09-04 19:07:24
O69,R53,S9,Bread,"Janakpuri, Delhi",Najafgarh,2025-09-05 19:45:24,2025-09-05 20:35:24,2025-09-05 20:55:24
O70,R94,S13,Milk,"Janakpuri, Delhi",Uttam Nagar,2025-09-01 15:45:24,2025-09-01 16:27:24,2025-09-01 16:31:24
O71,R74,S9,Cheese,"Janakpuri, Delhi",Kirti Nagar,2025-09-07 00:45:24,2025-09-07 01:29:24,2025-09-07 01:24:24
O72,R44,S16,Cheese,"Janakpuri, Delhi",Janakpuri West,2025-09-03 02:45:24,2025-09-03 03:07:24,2025-09-03 03:12:24
O73,R2,S4,Atta,"Janakpuri, Delhi",Patel Nagar,2025-09-08 03:45:24,2025-09-08 04:07:24,2025-09-08 04:36:24
O74,R54,S8,Atta,"Janakpuri, Delhi",Dwarka,2025-09-03 01:45:24,2025-09-03 02:12:24,2025-09-03 02:11:24
O75,R39,S2,Sugar,"Janakpuri, Delhi",Karol Bagh,2025-09-09 08:45:24,2025-09-09 09:21:24,2025-09-09 09:24:24
O76,R71,S2,Sugar,"Janakpuri, Delhi",Janakpuri East,2025-09-09 16:45:24,2025-09-09 17:28:24,2025-09-09 17:41:24
O77,R32,S9,Atta,"Janakpuri, Delhi",Vikaspuri,2025-08-31 13:45:24,2025-08-31 14:07:24,2025-08-31 14:24:24
O78,R75,S3,Bread,"Janakpuri, Delhi",Hari Nagar,2025-09-04 03:45:24,2025-09-04 04:26:24,2025-09-04 04:26:24
O79,R72,S3,Salt,"Janakpuri, Delhi",Punjabi Bagh,2025-09-06 17:45:24,2025-09-06 18:18:24,2025-09-06 18:14:24
O80,R8,S18,Sugar,"Janakpuri, Delhi",Patel Nagar,2025-09-04 09:45:24,2025-09-04 10:29:24,2025-09-04 10:46:24
O81,R9,S14,Salt,"Janakpuri, Delhi",Najafgarh,2025-09-08 20:45:24,2025-09-08 21:06:24,2025-09-08 21:08:24
O82,R19,S1,Atta,"Janakpuri, Delhi",Janakpuri East,2025-09-07 00:45:24,2025-09-07 01:12:24,2025-09-07 01:42:24
O83,R62,S9,Sugar,"Janakpuri, Delhi",Vikaspuri,2025-09-03 01:45:24,2025-09-03 02:34:24,2025-09-03 02:32:24
O84,R32,S7,Juice,"Janakpuri, Delhi",Vikaspuri,2025-09-05 14:45:24,2025-09-05 15:25:24,2025-09-05 15:55:24
O85,R81,S18,Rice,"Janakpuri, Delhi",Najafgarh,2025-09-05 04:45:24,2025-09-05 05:09:24,2025-09-05 05:21:24
O86,R86,S18,Eggs,"Janakpuri, Delhi",Patel Nagar,2025-09-02 19:45:24,2025-09-02 20:07:24,2025-09-02 20:08:24
O87,R42,S16,Salt,"Janakpuri, Delhi",Najafgarh,2025-09-09 21:45:24,2025-09-09 22:33:24,2025-09-09 22:33:24
O88,R79,S9,Salt,"Janakpuri, Delhi",Karol Bagh,2025-09-05 18:45:24,2025-09-05 19:16:24,2025-09-05 19:21:24
O89,R47,S15,Juice,"Janakpuri, Delhi",Karol Bagh,2025-09-10 04:45:24,2025-09-10 05:30:24,2025-09-10 05:44:24
O90,R88,S2,Milk,"Janakpuri, Delhi",Patel Nagar,2025-09-05 21:45:24,2025-09-05 22:07:24,2025-09-05 22:36:24
O91,R44,S8,Butter,"Janakpuri, Delhi",Vikaspuri,2025-08-31 23:45:24,2025-09-01 00:31:24,2025-09-01 00:31:24
O92,R55,S5,Atta,"Janakpuri, Delhi",Paschim Vihar,2025-09-02 13:45:24,2025-09-02 14:08:24,2025-09-02 14:28:24
O93,R87,S12,Butter,"Janakpuri, Delhi",Janakpuri East,2025-09-07 23:45:24,2025-09-08 00:17:24,2025-09-08 00:31:24
O94,R76,S6,Milk,"Janakpuri, Delhi",Hari Nagar,2025-08-30 16:45:24,2025-08-30 17:35:24,2025-08-30 18:01:24
O95,R30,S11,Cheese,"Janakpuri, Delhi",Janakpuri West,2025-09-06 21:45:24,2025-09-06 22:35:24,2025-09-06 22:36:24
O96,R97,S18,Salt,"Janakpuri, Delhi",Moti Nagar,2025-09-03 20:45:24,2025-09-03 21:35:24,2025-09-03 21:45:24
O97,R100,S10,Atta,"Janakpuri, Delhi",Tilak Nagar,2025-09-08 04:45:24,2025-09-08 05:21:24,2025-09-08 05:50:24
O98,R80,S5,Butter,"Janakpuri, Delhi",Rajouri Garden,2025-09-04 04:45:24,2025-09-04 05:21:24,2025-09-04 05:48:24
O99,R58,S7,Butter,"Janakpuri, Delhi",Janakpuri West,2025-09-07 00:45:24,2025-09-07 01:17:24,2025-09-07 01:18:24
O100,R85,S16,Salt,"Janakpuri, Delhi",Janakpuri East,2025-09-03 21:45:24,2025-09-03 22:11:24,2025-09-03 22:12:24
O101,R74,S14,Cheese,"Janakpuri, Delhi",Dwarka,2025-09-07 21:45:24,2025-09-07 22:25:24,2025-09-07 22:22:24
O102,R72,S14,Juice,"Janakpuri, Delhi",Uttam Nagar,2025-09-03 13:45:24,2025-09-03 14:31:24,2025-09-03 14:34:24
O103,R39,S13,Juice,"Janakpuri, Delhi",Tilak Nagar,2025-09-08 05:45:24,2025-09-08 06:10:24,2025-09-08 06:29:24
O104,R14,S19,Butter,"Janakpuri, Delhi",Moti Nagar,2025-09-05 03:45:24,2025-09-05 04:19:24,2025-09-05 04:49:24
O105,R38,S14,Atta,"Janakpuri, Delhi",Subhash Nagar,2025-09-02 01:45:24,2025-09-02 02:08:24,2025-09-02 02:06:24
O106,R67,S1,Rice,"Janakpuri, Delhi",Dwarka,2025-09-05 21:45:24,2025-09-05 22:17:24,2025-09-05 22:41:24
O107,R75,S16,Cheese,"Janakpuri, Delhi",Najafgarh,2025-09-05 09:45:24,2025-09-05 10:27:24,2025-09-05 10:30:24
O108,R39,S2,Butter,"Janakpuri, Delhi",Punjabi Bagh,2025-09-08 03:45:24,2025-09-08 04:24:24,2025-09-08 04:45:24
O109,R34,S18,Milk,"Janakpuri, Delhi",Karol Bagh,2025-08-31 14:45:24,2025-08-31 15:21:24,2025-08-31 15:19:24
O110,R3,S20,Butter,"Janakpuri, Delhi",Punjabi Bagh,2025-09-07 18:45:24,2025-09-07 19:17:24,2025-09-07 19:46:24
O111,R31,S16,Atta,"Janakpuri, Delhi",Janakpuri West,2025-09-08 17:45:24,2025-09-08 18:11:24,2025-09-08 18:13:24
O112,R28,S17,Butter,"Janakpuri, Delhi",Paschim Vihar,2025-09-06 21:45:24,2025-09-06 22:15:24,2025-09-06 22:18:24
O113,R54,S2,Sugar,"Janakpuri, Delhi",Patel Nagar,2025-09-03 01:45:24,2025-09-03 02:07:24,2025-09-03 02:05:24
O114,R53,S18,Milk,"Janakpuri, Delhi",Paschim Vihar,2025-09-09 18:45:24,2025-09-09 19:05:24,2025-09-09 19:04:24
O115,R97,S13,Butter,"Janakpuri, Delhi",Patel Nagar,2025-09-04 22:45:24,2025-09-04 23:23:24,2025-09-04 23:23:24
O116,R46,S7,Juice,"Janakpuri, Delhi",Tilak Nagar,2025-09-01 06:45:24,2025-09-01 07:28:24,2025-09-01 07:45:24
O117,R88,S9,Eggs,"Janakpuri, Delhi",Rajouri Garden,2025-09-03 19:45:24,2025-09-03 20:13:24,2025-09-03 20:29:24
O118,R63,S15,Juice,"Janakpuri, Delhi",Karol Bagh,2025-09-05 14:45:24,2025-09-05 15:18:24,2025-09-05 15:18:24
O119,R55,S1,Salt,"Janakpuri, Delhi",Paschim Vihar,2025-08-30 11:45:24,2025-08-30 12:27:24,2025-08-30 12:32:24
O120,R8,S11,Salt,"Janakpuri, Delhi",Najafgarh,2025-09-08 17:45:24,2025-09-08 18:11:24,2025-09-08 18:08:24
O121,R55,S14,Rice,"Janakpuri, Delhi",Najafgarh,2025-09-03 11:45:24,2025-09-03 12:25:24,2025-09-03 12:23:24
O122,R23,S14,Cheese,"Janakpuri, Delhi",Hari Nagar,2025-09-07 20:45:24,2025-09-07 21:34:24,2025-09-07 21:33:24
O123,R35,S18,Atta,"Janakpuri, Delhi",Najafgarh,2025-09-06 05:45:24,2025-09-06 06:34:24,2025-09-06 06:59:24
O124,R41,S17,Sugar,"Janakpuri, Delhi",Dwarka,2025-08-31 15:45:24,2025-08-31 16:16:24,2025-08-31 16:35:24
O125,R15,S10,Cheese,"Janakpuri, Delhi",Patel Nagar,2025-08-31 15:45:24,2025-08-31 16:12:24,2025-08-31 16:31:24
O126,R85,S8,Sugar,"Janakpuri, Delhi",Rajouri Garden,2025-08-31 01:45:24,2025-08-31 02:19:24,2025-08-31 02:38:24
O127,R36,S10,Rice,"Janakpuri, Delhi",Dwarka,2025-09-06 20:45:24,2025-09-06 21:20:24,2025-09-06 21:20:24
O128,R42,S2,Sugar,"Janakpuri, Delhi",Hari Nagar,2025-09-06 00:45:24,2025-09-06 01:29:24,2025-09-06 01:57:24
O129,R34,S16,Salt,"Janakpuri, Delhi",Vikaspuri,2025-09-10 05:45:24,2025-09-10 06:08:24,2025-09-10 06:11:24
O130,R73,S20,Bread,"Janakpuri, Delhi",Moti Nagar,2025-09-08 00:45:24,2025-09-08 01:35:24,2025-09-08 01:36:24
O131,R57,S19,Sugar,"Janakpuri, Delhi",Patel Nagar,2025-09-06 03:45:24,2025-09-06 04:16:24,2025-09-06 04:44:24
O132,R43,S11,Eggs,"Janakpuri, Delhi",Patel Nagar,2025-09-08 19:45:24,2025-09-08 20:26:24,2025-09-08 20:51:24
O133,R22,S14,Eggs,"Janakpuri, Delhi",Kirti Nagar,2025-09-03 12:45:24,2025-09-03 13:29:24,2025-09-03 13:58:24
O134,R91,S10,Rice,"Janakpuri, Delhi",Dwarka,2025-09-06 10:45:24,2025-09-06 11:35:24,2025-09-06 11:37:24
O135,R77,S19,Bread,"Janakpuri, Delhi",Dwarka,2025-09-06 07:45:24,2025-09-06 08:34:24,2025-09-06 08:36:24
O136,R87,S4,Sugar,"Janakpuri, Delhi",Kirti Nagar,2025-09-06 09:45:24,2025-09-06 10:26:24,2025-09-06 10:38:24
O137,R92,S15,Atta,"Janakpuri, Delhi",Hari Nagar,2025-09-01 21:45:24,2025-09-01 22:29:24,2025-09-01 22:47:24
O138,R66,S17,Cheese,"Janakpuri, Delhi",Moti Nagar,2025-09-01 07:45:24,2025-09-01 08:26:24,2025-09-01 08:53:24
O139,R2,S11,Juice,"Janakpuri, Delhi",Kirti Nagar,2025-09-05 16:45:24,2025-09-05 17:16:24,2025-09-05 17:20:24
O140,R30,S13,Sugar,"Janakpuri, Delhi",Rajouri Garden,2025-09-07 00:45:24,2025-09-07 01:10:24,2025-09-07 01:08:24
O141,R80,S20,Rice,"Janakpuri, Delhi",Dwarka,2025-09-01 16:45:24,2025-09-01 17:11:24,2025-09-01 17:10:24
O142,R91,S11,Bread,"Janakpuri, Delhi",Janakpuri East,2025-09-02 22:45:24,2025-09-02 23:34:24,2025-09-02 23:38:24
O143,R49,S16,Eggs,"Janakpuri, Delhi",Dwarka,2025-09-08 23:45:24,2025-09-09 00:22:24,2025-09-09 00:38:24
O144,R81,S11,Salt,"Janakpuri, Delhi",Subhash Nagar,2025-09-10 10:45:24,2025-09-10 11:29:24,2025-09-10 11:48:24
O145,R62,S20,Juice,"Janakpuri, Delhi",Kirti Nagar,2025-09-01 00:45:24,2025-09-01 01:10:24,2025-09-01 01:10:24
O146,R70,S8,Sugar,"Janakpuri, Delhi",Vikaspuri,2025-09-01 07:45:24,2025-09-01 08:34:24,2025-09-01 09:02:24
O147,R93,S12,Juice,"Janakpuri, Delhi",Najafgarh,2025-09-01 06:45:24,2025-09-01 07:08:24,2025-09-01 07:11:24
O148,R62,S3,Atta,"Janakpuri, Delhi",Najafgarh,2025-09-07 10:45:24,2025-09-07 11:32:24,2025-09-07 11:29:24
O149,R63,S19,Eggs,"Janakpuri, Delhi",Moti Nagar,2025-09-02 06:45:24,2025-09-02 07:35:24,2025-09-02 08:02:24
O150,R13,S1,Atta,"Janakpuri, Delhi",Vikaspuri,2025-09-04 01:45:24,2025-09-04 02:35:24,2025-09-04 02:54:24
O151,R24,S10,Butter,"Janakpuri, Delhi",Najafgarh,2025-09-01 09:45:24,2025-09-01 10:14:24,2025-09-01 10:19:24
O152,R45,S17,Eggs,"Janakpuri, Delhi",Janakpuri West,2025-09-01 00:45:24,2025-09-01 01:15:24,2025-09-01 01:37:24
O153,R27,S5,Bread,"Janakpuri, Delhi",Paschim Vihar,2025-09-02 20:45:24,2025-09-02 21:15:24,2025-09-02 21:27:24
O154,R15,S12,Rice,"Janakpuri, Delhi",Punjabi Bagh,2025-09-02 02:45:24,2025-09-02 03:30:24,2025-09-02 04:00:24
O155,R56,S7,Milk,"Janakpuri, Delhi",Patel Nagar,2025-09-08 01:45:24,2025-09-08 02:29:24,2025-09-08 02:24:24
O156,R14,S20,Rice,"Janakpuri, Delhi",Subhash Nagar,2025-09-08 18:45:24,2025-09-08 19:19:24,2025-09-08 19:40:24
O157,R61,S7,Salt,"Janakpuri, Delhi",Najafgarh,2025-09-07 10:45:24,2025-09-07 11:13:24,2025-09-07 11:09:24
O158,R60,S5,Cheese,"Janakpuri, Delhi",Najafgarh,2025-09-04 15:45:24,2025-09-04 16:08:24,2025-09-04 16:06:24
O159,R4,S9,Rice,"Janakpuri, Delhi",Janakpuri East,2025-09-06 12:45:24,2025-09-06 13:17:24,2025-09-06 13:13:24
O160,R87,S7,Salt,"Janakpuri, Delhi",Janakpuri West,2025-09-03 00:45:24,2025-09-03 01:18:24,2025-09-03 01:16:24
O161,R4,S19,Sugar,"Janakpuri, Delhi",Janakpuri West,2025-09-07 05:45:24,2025-09-07 06:35:24,2025-09-07 06:57:24
O162,R17,S17,Bread,"Janakpuri, Delhi",Punjabi Bagh,2025-08-31 00:45:24,2025-08-31 01:13:24,2025-08-31 01:11:24
O163,R33,S6,Eggs,"Janakpuri, Delhi",Janakpuri East,2025-08-31 06:45:24,2025-08-31 07:16:24,2025-08-31 07:15:24
O164,R72,S8,Milk,"Janakpuri, Delhi",Najafgarh,2025-08-31 23:45:24,2025-09-01 00:13:24,2025-09-01 00:12:24
O165,R49,S19,Butter,"Janakpuri, Delhi",Vikaspuri,2025-09-04 09:45:24,2025-09-04 10:24:24,2025-09-04 10:43:24
O166,R34,S13,Atta,"Janakpuri, Delhi",Karol Bagh,2025-09-01 06:45:24,2025-09-01 07:08:24,2025-09-01 07:07:24
O167,R69,S8,Juice,"Janakpuri, Delhi",Hari Nagar,2025-08-31 12:45:24,2025-08-31 13:13:24,2025-08-31 13:10:24
O168,R40,S20,Juice,"Janakpuri, Delhi",Najafgarh,2025-09-10 10:45:24,2025-09-10 11:32:24,2025-09-10 11:32:24
O169,R52,S6,Atta,"Janakpuri, Delhi",Dwarka,2025-09-04 05:45:24,2025-09-04 06:29:24,2025-09-04 06:52:24
O170,R46,S3,Cheese,"Janakpuri, Delhi",Punjabi Bagh,2025-09-04 05:45:24,2025-09-04 06:12:24,2025-09-04 06:11:24
O171,R81,S12,Juice,"Janakpuri, Delhi",Tilak Nagar,2025-09-02 17:45:24,2025-09-02 18:35:24,2025-09-02 19:00:24
O172,R37,S12,Eggs,"Janakpuri, Delhi",Patel Nagar,2025-09-01 01:45:24,2025-09-01 02:28:24,2025-09-01 02:50:24
O173,R93,S14,Sugar,"Janakpuri, Delhi",Vikaspuri,2025-08-31 06:45:24,2025-08-31 07:31:24,2025-08-31 07:27:24
O174,R56,S2,Juice,"Janakpuri, Delhi",Uttam Nagar,2025-08-31 05:45:24,2025-08-31 06:23:24,2025-08-31 06:39:24
O175,R19,S11,Sugar,"Janakpuri, Delhi",Janakpuri East,2025-09-02 06:45:24,2025-09-02 07:08:24,2025-09-02 07:04:24
O176,R67,S16,Bread,"Janakpuri, Delhi",Dwarka,2025-09-02 20:45:24,2025-09-02 21:10:24,2025-09-02 21:12:24
O177,R44,S10,Juice,"Janakpuri, Delhi",Patel Nagar,2025-08-30 13:45:24,2025-08-30 14:22:24,2025-08-30 14:23:24
O178,R43,S5,Juice,"Janakpuri, Delhi",Kirti Nagar,2025-09-03 10:45:24,2025-09-03 11:12:24,2025-09-03 11:28:24
O179,R34,S14,Atta,"Janakpuri, Delhi",Najafgarh,2025-09-09 21:45:24,2025-09-09 22:19:24,2025-09-09 22:31:24
O180,R14,S6,Rice,"Janakpuri, Delhi",Vikaspuri,2025-09-01 10:45:24,2025-09-01 11:34:24,2025-09-01 11:57:24
O181,R95,S20,Milk,"Janakpuri, Delhi",Moti Nagar,2025-09-03 22:45:24,2025-09-03 23:23:24,2025-09-03 23:48:24
O182,R52,S6,Cheese,"Janakpuri, Delhi",Tilak Nagar,2025-09-06 18:45:24,2025-09-06 19:33:24,2025-09-06 19:53:24
O183,R74,S1,Salt,"Janakpuri, Delhi",Uttam Nagar,2025-09-05 21:45:24,2025-09-05 22:14:24,2025-09-05 22:41:24
O184,R49,S18,Cheese,"Janakpuri, Delhi",Punjabi Bagh,2025-09-06 04:45:24,2025-09-06 05:10:24,2025-09-06 05:05:24
O185,R23,S9,Bread,"Janakpuri, Delhi",Vikaspuri,2025-09-06 20:45:24,2025-09-06 21:10:24,2025-09-06 21:24:24
O186,R96,S1,Sugar,"Janakpuri, Delhi",Subhash Nagar,2025-09-01 11:45:24,2025-09-01 12:13:24,2025-09-01 12:14:24
O187,R5,S18,Salt,"Janakpuri, Delhi",Kirti Nagar,2025-09-02 15:45:24,2025-09-02 16:17:24,2025-09-02 16:46:24
O188,R94,S2,Milk,"Janakpuri, Delhi",Janakpuri West,2025-08-31 14:45:24,2025-08-31 15:09:24,2025-08-31 15:34:24
