TrainID,Operator,Departure,Destination,ScheduledDeparture,ActualDeparture,DelayMinutes
T1067,Trenitalia,Munich,Berlin,2025-09-07 21:27:34,2025-09-07 22:12:34,45
T1068,Renfe,Lisbon,Stockholm,2025-09-07 16:25:34,2025-09-07 16:35:34,10
T1069,SNCF,Barcelona,Copenhagen,2025-09-07 17:52:34,2025-09-07 19:43:34,111
T1070,Trenitalia,Madrid,Oslo,2025-09-07 15:49:34,2025-09-07 16:09:34,20
T1071,ÖBB,Lisbon,Prague,2025-09-07 20:55:34,2025-09-07 21:55:34,60
T1072,DB,Brussels,Paris,2025-09-07 23:45:34,2025-09-08 00:10:34,25
T1073,DB,Barcelona,Madrid,2025-09-08 00:25:34,2025-09-08 00:55:34,30
T1074,Trenitalia,Oslo,Stockholm,2025-09-08 02:15:34,2025-09-08 02:25:34,10
T1075,Thalys,Barcelona,Budapest,2025-09-08 00:07:34,2025-09-08 00:12:34,5
T1076,SNCF,Oslo,Madrid,2025-09-07 13:55:34,2025-09-07 14:05:34,10
T1077,Thalys,Berlin,Vienna,2025-09-07 15:00:34,2025-09-07 15:15:34,15
T1078,SBB,Berlin,Athens,2025-09-08 00:08:34,2025-09-08 00:38:34,30
T1079,DB,Oslo,Athens,2025-09-07 17:33:34,2025-09-07 17:58:34,25
T1080,SBB,Dublin,Madrid,2025-09-07 13:24:34,2025-09-07 13:39:34,15
T1081,Renfe,Madrid,Copenhagen,2025-09-08 02:51:34,2025-09-08 02:51:34,0
T1082,Trenitalia,Lisbon,Budapest,2025-09-08 03:12:34,2025-09-08 03:12:34,0
T1083,Thalys,Oslo,Berlin,2025-09-08 01:42:34,2025-09-08 02:02:34,20
T1084,ÖBB,Vienna,Oslo,2025-09-07 14:50:34,2025-09-07 15:05:34,15
T1085,SNCF,Vienna,Dublin,2025-09-07 22:09:34,2025-09-07 22:24:34,15
T1086,Renfe,Lisbon,Dublin,2025-09-07 20:16:34,2025-09-07 20:21:34,5
T1087,SNCF,Copenhagen,Budapest,2025-09-08 04:15:34,2025-09-08 04:25:34,10
T1088,SBB,Lisbon,Warsaw,2025-09-07 21:47:34,2025-09-07 21:57:34,10
T1089,ÖBB,Prague,Barcelona,2025-09-07 22:34:34,2025-09-07 22:59:34,25
T1090,DB,Budapest,Barcelona,2025-09-07 23:34:34,2025-09-08 00:04:34,30
T1091,Renfe,Warsaw,Lisbon,2025-09-08 04:59:34,2025-09-08 05:19:34,20
T1092,Eurostar,Copenhagen,Dublin,2025-09-08 05:33:34,2025-09-08 05:33:34,0
T1093,Eurostar,Milan,Paris,2025-09-07 22:01:34,2025-09-07 22:21:34,20
T1094,Eurostar,Milan,Zurich,2025-09-07 16:50:34,2025-09-07 17:15:34,25
T1095,SNCF,Munich,Lisbon,2025-09-07 21:54:34,2025-09-07 23:05:34,71
T1096,SNCF,Rome,Berlin,2025-09-07 21:02:34,2025-09-07 21:12:34,10
T1097,DB,Munich,Prague,2025-09-08 04:21:34,2025-09-08 04:36:34,15
T1098,DB,Munich,Milan,2025-09-07 14:45:34,2025-09-07 15:15:34,30
T1099,SBB,Madrid,Barcelona,2025-09-08 02:42:34,2025-09-08 02:52:34,10
T1100,Eurostar,Athens,Rome,2025-09-07 23:20:34,2025-09-07 23:40:34,20
T1101,Renfe,Athens,Warsaw,2025-09-07 14:31:34,2025-09-07 14:31:34,0
T1102,DB,Prague,Budapest,2025-09-07 20:17:34,2025-09-07 20:22:34,5
T1103,Eurostar,Dublin,Paris,2025-09-08 00:00:34,2025-09-08 00:30:34,30
T1104,SNCF,Milan,Oslo,2025-09-07 13:53:34,2025-09-07 14:53:34,60
T1105,Eurostar,Barcelona,Oslo,2025-09-08 01:05:34,2025-09-08 01:15:34,10
T1106,Thalys,Warsaw,Copenhagen,2025-09-08 02:01:34,2025-09-08 03:17:34,76
T1107,SNCF,Zurich,Budapest,2025-09-07 18:07:34,2025-09-07 18:37:34,30
T1108,Eurostar,Amsterdam,Barcelona,2025-09-07 14:35:34,2025-09-07 15:35:34,60
T1109,ÖBB,Lisbon,Warsaw,2025-09-07 17:39:34,2025-09-07 18:09:34,30
T1110,SBB,Amsterdam,Dublin,2025-09-07 21:23:34,2025-09-07 21:38:34,15
T1111,DB,Warsaw,Athens,2025-09-07 16:31:34,2025-09-07 17:42:34,71
T1112,Renfe,Zurich,Madrid,2025-09-07 17:43:34,2025-09-07 18:13:34,30
T1113,ÖBB,Athens,Madrid,2025-09-07 15:06:34,2025-09-07 15:36:34,30
T1114,Eurostar,Prague,Dublin,2025-09-07 16:26:34,2025-09-07 16:51:34,25
T1115,SNCF,Milan,Brussels,2025-09-07 19:09:34,2025-09-07 19:54:34,45
T1116,DB,Copenhagen,Berlin,2025-09-08 04:57:34,2025-09-08 05:12:34,15
T1117,Thalys,Prague,Amsterdam,2025-09-08 02:06:34,2025-09-08 02:11:34,5
T1118,Trenitalia,Berlin,Zurich,2025-09-08 05:22:34,2025-09-08 05:32:34,10
T1119,Trenitalia,Paris,Barcelona,2025-09-08 01:01:34,2025-09-08 01:06:34,5
T1120,DB,Copenhagen,Stockholm,2025-09-07 13:34:34,2025-09-07 13:49:34,15
T1121,SBB,Vienna,Lisbon,2025-09-07 22:06:34,2025-09-07 22:26:34,20
T1122,ÖBB,Dublin,Amsterdam,2025-09-08 01:02:34,2025-09-08 01:02:34,0
T1123,Eurostar,Athens,Oslo,2025-09-07 13:55:34,2025-09-07 14:05:34,10
T1124,Trenitalia,Milan,Vienna,2025-09-08 02:39:34,2025-09-08 04:08:34,89
T1125,Thalys,Berlin,Copenhagen,2025-09-08 00:21:34,2025-09-08 00:21:34,0
T1126,Thalys,Warsaw,Munich,2025-09-08 00:29:34,2025-09-08 00:54:34,25
T1127,DB,Paris,Milan,2025-09-08 03:59:34,2025-09-08 04:29:34,30
T1128,Renfe,Warsaw,Oslo,2025-09-08 05:51:34,2025-09-08 05:56:34,5
T1129,SBB,Stockholm,Lisbon,2025-09-07 14:41:34,2025-09-07 14:56:34,15
T1130,Trenitalia,Lisbon,Paris,2025-09-07 13:51:34,2025-09-07 14:51:34,60
T1131,Eurostar,Barcelona,Stockholm,2025-09-07 19:53:34,2025-09-07 20:03:34,10
T1132,DB,Prague,Dublin,2025-09-07 19:14:34,2025-09-07 19:34:34,20
T1133,ÖBB,Oslo,Munich,2025-09-08 03:02:34,2025-09-08 03:22:34,20
T1134,SNCF,Paris,Lisbon,2025-09-08 05:22:34,2025-09-08 05:37:34,15
T1135,ÖBB,Barcelona,Warsaw,2025-09-08 00:23:34,2025-09-08 00:28:34,5
T1136,SNCF,Oslo,Zurich,2025-09-07 20:18:34,2025-09-07 20:48:34,30
T1137,SBB,Budapest,Milan,2025-09-08 04:42:34,2025-09-08 05:07:34,25
T1138,DB,Lisbon,Amsterdam,2025-09-07 16:42:34,2025-09-07 16:52:34,10
T1139,SNCF,Amsterdam,Milan,2025-09-08 00:56:34,2025-09-08 01:56:34,60
T1140,SNCF,Budapest,Amsterdam,2025-09-08 00:22:34,2025-09-08 02:21:34,119
T1141,SNCF,Barcelona,Madrid,2025-09-07 22:41:34,2025-09-07 22:46:34,5
T1142,ÖBB,Barcelona,Amsterdam,2025-09-08 01:35:34,2025-09-08 02:00:34,25
T1143,SNCF,Budapest,Milan,2025-09-07 20:44:34,2025-09-07 21:04:34,20
T1144,Trenitalia,Vienna,Rome,2025-09-07 15:25:34,2025-09-07 15:25:34,0
T1145,DB,Dublin,Athens,2025-09-07 23:38:34,2025-09-08 00:07:34,29
T1146,SNCF,Zurich,Paris,2025-09-07 19:18:34,2025-09-07 20:03:34,45
T1147,SNCF,Oslo,Stockholm,2025-09-08 01:20:34,2025-09-08 01:45:34,25
T1148,DB,Warsaw,Stockholm,2025-09-07 21:16:34,2025-09-07 21:26:34,10
T1149,Trenitalia,Zurich,Berlin,2025-09-07 20:09:34,2025-09-07 20:09:34,0
T1150,DB,Budapest,Zurich,2025-09-08 01:51:34,2025-09-08 02:06:34,15
T1151,SBB,Madrid,Brussels,2025-09-08 05:00:34,2025-09-08 05:56:34,56
T1152,ÖBB,Barcelona,Copenhagen,2025-09-08 04:19:34,2025-09-08 04:49:34,30
T1153,Eurostar,Berlin,Warsaw,2025-09-08 01:28:34,2025-09-08 01:58:34,30
T1154,DB,Oslo,Rome,2025-09-07 20:53:34,2025-09-07 20:53:34,0
T1155,ÖBB,Oslo,Lisbon,2025-09-07 19:56:34,2025-09-07 19:56:34,0
T1156,ÖBB,Oslo,Berlin,2025-09-07 16:25:34,2025-09-07 17:10:34,45
T1157,Trenitalia,Milan,Dublin,2025-09-07 21:03:34,2025-09-07 21:33:34,30
T1158,SBB,Dublin,Berlin,2025-09-08 00:57:34,2025-09-08 01:07:34,10
T1159,SNCF,Copenhagen,Madrid,2025-09-08 01:30:34,2025-09-08 01:35:34,5
T1160,Renfe,Athens,Lisbon,2025-09-07 15:29:34,2025-09-07 15:59:34,30
T1161,DB,Copenhagen,Paris,2025-09-07 16:14:34,2025-09-07 17:12:34,58
T1162,Thalys,Copenhagen,Madrid,2025-09-07 17:27:34,2025-09-07 17:37:34,10
T1163,Thalys,Madrid,Rome,2025-09-08 01:14:34,2025-09-08 01:39:34,25
T1164,SNCF,Oslo,Warsaw,2025-09-08 01:35:34,2025-09-08 02:35:34,60
T1165,Renfe,Warsaw,Lisbon,2025-09-07 19:40:34,2025-09-07 19:50:34,10
T1166,SNCF,Athens,Amsterdam,2025-09-07 15:57:34,2025-09-07 16:07:34,10
T1167,Trenitalia,Berlin,Budapest,2025-09-07 18:26:34,2025-09-07 19:11:34,45
T1168,Eurostar,Brussels,Rome,2025-09-08 04:31:34,2025-09-08 04:46:34,15
T1169,SBB,Dublin,Munich,2025-09-07 13:23:34,2025-09-07 14:08:34,45
T1170,DB,Lisbon,Paris,2025-09-07 23:33:34,2025-09-08 00:18:34,45
T1171,ÖBB,Vienna,Athens,2025-09-08 00:26:34,2025-09-08 01:11:34,45
T1172,DB,Copenhagen,Madrid,2025-09-07 23:26:34,2025-09-07 23:26:34,0
T1173,DB,Lisbon,Munich,2025-09-07 23:45:34,2025-09-08 00:45:34,60
T1174,Eurostar,Berlin,Brussels,2025-09-07 15:42:34,2025-09-07 16:07:34,25
T1175,Trenitalia,Amsterdam,Berlin,2025-09-08 00:34:34,2025-09-08 01:47:34,73
T1176,SNCF,Barcelona,Madrid,2025-09-07 14:01:34,2025-09-07 14:31:34,30
T1177,SNCF,Brussels,Milan,2025-09-07 23:36:34,2025-09-08 01:00:34,84
T1178,Thalys,Copenhagen,Athens,2025-09-07 19:19:34,2025-09-07 19:19:34,0
T1179,Thalys,Milan,Barcelona,2025-09-07 19:28:34,2025-09-07 19:58:34,30
T1180,SNCF,Budapest,Lisbon,2025-09-07 14:17:34,2025-09-07 15:02:34,45
T1181,DB,Rome,Munich,2025-09-07 18:48:34,2025-09-07 19:18:34,30
T1182,Thalys,Vienna,Berlin,2025-09-07 15:02:34,2025-09-07 16:02:34,60
T1183,Trenitalia,Stockholm,Milan,2025-09-07 20:28:34,2025-09-07 20:53:34,25
T1184,SBB,Oslo,Athens,2025-09-07 23:49:34,2025-09-07 23:59:34,10
T1185,DB,Oslo,Stockholm,2025-09-07 21:35:34,2025-09-07 21:45:34,10
T1186,SBB,Milan,Vienna,2025-09-07 13:12:34,2025-09-07 13:12:34,0
T1187,ÖBB,Rome,Vienna,2025-09-08 02:49:34,2025-09-08 03:19:34,30
T1188,Eurostar,Berlin,Barcelona,2025-09-07 19:09:34,2025-09-07 19:24:34,15
T1189,Trenitalia,Vienna,Milan,2025-09-07 17:31:34,2025-09-07 17:36:34,5
T1190,Thalys,Milan,Oslo,2025-09-07 22:34:34,2025-09-07 22:34:34,0
T1191,Eurostar,Barcelona,Dublin,2025-09-07 19:56:34,2025-09-07 21:28:34,92
T1192,SBB,Brussels,Vienna,2025-09-07 18:49:34,2025-09-07 19:14:34,25
T1193,SNCF,Stockholm,Berlin,2025-09-08 00:12:34,2025-09-08 00:57:34,45
T1194,ÖBB,Copenhagen,Lisbon,2025-09-08 04:28:34,2025-09-08 05:13:34,45
T1195,Eurostar,Berlin,Oslo,2025-09-07 18:17:34,2025-09-07 18:42:34,25
T1196,Thalys,Vienna,Athens,2025-09-08 00:52:34,2025-09-08 01:17:34,25
T1197,ÖBB,Amsterdam,Munich,2025-09-08 03:31:34,2025-09-08 03:56:34,25
T1198,SNCF,Lisbon,Brussels,2025-09-07 22:55:34,2025-09-07 23:25:34,30
T1199,Renfe,Dublin,Rome,2025-09-08 03:56:34,2025-09-08 04:16:34,20
T1200,DB,Berlin,Munich,2025-09-07 20:14:34,2025-09-07 20:59:34,45
T1201,Trenitalia,Prague,Copenhagen,2025-09-08 03:20:34,2025-09-08 03:35:34,15
T1202,DB,Brussels,Rome,2025-09-07 19:34:34,2025-09-07 19:34:34,0
T1203,SNCF,Madrid,Copenhagen,2025-09-07 21:49:34,2025-09-07 22:34:34,45
T1204,Trenitalia,Vienna,Barcelona,2025-09-08 04:56:34,2025-09-08 05:56:34,60
T1205,SNCF,Barcelona,Amsterdam,2025-09-08 02:18:34,2025-09-08 02:23:34,5
T1206,Thalys,Vienna,Berlin,2025-09-07 21:01:34,2025-09-07 22:01:34,60
T1207,Thalys,Paris,Milan,2025-09-08 05:05:34,2025-09-08 05:10:34,5
T1208,Trenitalia,Barcelona,Copenhagen,2025-09-08 04:21:34,2025-09-08 04:26:34,5
T1209,Renfe,Paris,Athens,2025-09-08 02:07:34,2025-09-08 02:22:34,15
T1210,Renfe,Vienna,Dublin,2025-09-07 18:04:34,2025-09-07 19:04:34,60
T1211,Trenitalia,Copenhagen,Rome,2025-09-07 17:50:34,2025-09-07 18:00:34,10
T1212,Thalys,Rome,Paris,2025-09-08 05:32:34,2025-09-08 06:32:34,60
T1213,Trenitalia,Vienna,Lisbon,2025-09-07 19:09:34,2025-09-07 19:34:34,25
T1214,Thalys,Amsterdam,Milan,2025-09-07 22:58:34,2025-09-07 23:08:34,10
T1215,SNCF,Milan,Barcelona,2025-09-07 22:24:34,2025-09-07 22:24:34,0
T1216,Thalys,Paris,Stockholm,2025-09-08 04:35:34,2025-09-08 04:35:34,0
T1217,SNCF,Warsaw,Berlin,2025-09-07 14:39:34,2025-09-07 15:09:34,30
T1218,Renfe,Dublin,Athens,2025-09-07 23:55:34,2025-09-08 00:40:34,45
T1219,Thalys,Milan,Barcelona,2025-09-08 03:08:34,2025-09-08 04:08:34,60
T1220,Thalys,Copenhagen,Athens,2025-09-07 15:25:34,2025-09-07 16:10:34,45
T1221,SBB,Copenhagen,Milan,2025-09-08 00:51:34,2025-09-08 01:36:34,45
T1222,Trenitalia,Zurich,Dublin,2025-09-07 15:38:34,2025-09-07 17:28:34,110
T1223,Renfe,Prague,Warsaw,2025-09-07 16:18:34,2025-09-07 16:43:34,25
T1224,Thalys,Copenhagen,Stockholm,2025-09-07 13:41:34,2025-09-07 14:26:34,45
T1225,Trenitalia,Prague,Stockholm,2025-09-07 21:03:34,2025-09-07 21:13:34,10
T1226,ÖBB,Prague,Athens,2025-09-07 15:21:34,2025-09-07 15:26:34,5
T1227,Trenitalia,Rome,Barcelona,2025-09-07 22:40:34,2025-09-07 22:45:34,5
T1228,DB,Lisbon,Copenhagen,2025-09-07 20:01:34,2025-09-07 20:31:34,30
T1229,ÖBB,Dublin,Zurich,2025-09-07 22:32:34,2025-09-07 23:17:34,45
T1230,ÖBB,Madrid,Barcelona,2025-09-07 16:44:34,2025-09-07 18:28:34,104
T1231,DB,Budapest,Athens,2025-09-08 02:37:34,2025-09-08 03:37:34,60
T1232,SBB,Brussels,Madrid,2025-09-08 01:48:34,2025-09-08 03:47:34,119
T1233,Thalys,Rome,Athens,2025-09-07 23:21:34,2025-09-07 23:46:34,25
T1234,Thalys,Copenhagen,Brussels,2025-09-07 18:26:34,2025-09-07 18:31:34,5
T1235,Thalys,Dublin,Warsaw,2025-09-07 18:46:34,2025-09-07 18:46:34,0
T1236,SNCF,Vienna,Amsterdam,2025-09-08 04:19:34,2025-09-08 04:19:34,0
T1237,SBB,Amsterdam,Copenhagen,2025-09-07 22:15:34,2025-09-07 22:45:34,30
T1238,Trenitalia,Vienna,Dublin,2025-09-08 00:48:34,2025-09-08 01:13:34,25
T1239,Renfe,Athens,Milan,2025-09-08 04:51:34,2025-09-08 05:21:34,30
T1240,ÖBB,Madrid,Athens,2025-09-07 13:19:34,2025-09-07 14:19:34,60
T1241,Eurostar,Amsterdam,Milan,2025-09-07 14:14:34,2025-09-07 15:14:34,60
T1242,Trenitalia,Paris,Lisbon,2025-09-08 03:11:34,2025-09-08 03:16:34,5
T1243,ÖBB,Paris,Zurich,2025-09-07 20:33:34,2025-09-07 22:02:34,89
T1244,DB,Barcelona,Warsaw,2025-09-07 20:06:34,2025-09-07 20:36:34,30
T1245,ÖBB,Brussels,Stockholm,2025-09-07 15:33:34,2025-09-07 16:33:34,60
T1246,SNCF,Prague,Budapest,2025-09-07 15:48:34,2025-09-07 15:58:34,10
T1247,SBB,Paris,Madrid,2025-09-08 00:14:34,2025-09-08 00:24:34,10
T1248,SBB,Budapest,Amsterdam,2025-09-07 14:37:34,2025-09-07 15:07:34,30
T1249,ÖBB,Dublin,Budapest,2025-09-07 23:49:34,2025-09-08 00:34:34,45
T1250,SNCF,Lisbon,Copenhagen,2025-09-07 19:44:34,2025-09-07 19:59:34,15
T1251,Trenitalia,Budapest,Paris,2025-09-07 23:02:34,2025-09-07 23:17:34,15
T1252,Eurostar,Budapest,Lisbon,2025-09-07 23:01:34,2025-09-07 23:01:34,0
T1253,SBB,Athens,Stockholm,2025-09-08 01:12:34,2025-09-08 01:17:34,5
T1254,Trenitalia,Madrid,Amsterdam,2025-09-08 01:38:34,2025-09-08 02:38:34,60
T1255,Thalys,Copenhagen,Oslo,2025-09-07 14:31:34,2025-09-07 15:37:34,66
T1256,Trenitalia,Zurich,Stockholm,2025-09-07 23:56:34,2025-09-08 00:01:34,5
T1257,Eurostar,Dublin,Berlin,2025-09-08 04:36:34,2025-09-08 05:36:34,60
T1258,Renfe,Stockholm,Copenhagen,2025-09-07 21:55:34,2025-09-07 22:40:34,45
T1259,Trenitalia,Budapest,Prague,2025-09-08 05:34:34,2025-09-08 05:54:34,20
T1260,Trenitalia,Brussels,Berlin,2025-09-08 01:02:34,2025-09-08 03:00:34,118
T1261,SNCF,Athens,Munich,2025-09-07 14:13:34,2025-09-07 14:58:34,45
T1262,Eurostar,Athens,Berlin,2025-09-08 00:23:34,2025-09-08 01:00:34,37
T1263,Thalys,Milan,Stockholm,2025-09-07 14:35:34,2025-09-07 15:35:34,60
T1264,Trenitalia,Munich,Dublin,2025-09-07 15:26:34,2025-09-07 15:46:34,20
T1265,SNCF,Munich,Paris,2025-09-08 01:50:34,2025-09-08 02:04:34,14
T1266,SNCF,Athens,Amsterdam,2025-09-08 00:25:34,2025-09-08 00:50:34,25
T1267,Eurostar,Munich,Zurich,2025-09-07 21:27:34,2025-09-07 22:27:34,60
T1268,SNCF,Barcelona,Madrid,2025-09-08 05:41:34,2025-09-08 05:59:34,18
T1269,SBB,Stockholm,Budapest,2025-09-08 02:19:34,2025-09-08 02:34:34,15
T1270,Eurostar,Brussels,Vienna,2025-09-07 23:02:34,2025-09-07 23:27:34,25
T1271,ÖBB,Munich,Rome,2025-09-07 14:04:34,2025-09-07 14:49:34,45
T1272,DB,Stockholm,Milan,2025-09-07 21:18:34,2025-09-07 22:18:34,60
T1273,ÖBB,Warsaw,Dublin,2025-09-07 21:16:34,2025-09-07 21:26:34,10
T1274,ÖBB,Paris,Milan,2025-09-08 05:00:34,2025-09-08 05:45:34,45
T1275,Renfe,Barcelona,Oslo,2025-09-08 00:50:34,2025-09-08 00:55:34,5
T1276,Thalys,Budapest,Munich,2025-09-07 18:54:34,2025-09-07 19:14:34,20
T1277,DB,Munich,Athens,2025-09-07 19:51:34,2025-09-07 20:06:34,15
T1278,Renfe,Oslo,Barcelona,2025-09-08 00:44:34,2025-09-08 00:54:34,10
T1279,Eurostar,Lisbon,Paris,2025-09-08 00:39:34,2025-09-08 00:44:34,5
T1280,Renfe,Budapest,Rome,2025-09-07 22:08:34,2025-09-07 22:53:34,45
T1281,Eurostar,Zurich,Milan,2025-09-07 17:28:34,2025-09-07 17:28:34,0
T1282,DB,Dublin,Madrid,2025-09-07 14:09:34,2025-09-07 16:09:34,120
T1283,SNCF,Dublin,Rome,2025-09-08 01:16:34,2025-09-08 01:21:34,5
T1284,SNCF,Warsaw,Athens,2025-09-08 02:53:34,2025-09-08 02:58:34,5
T1285,SBB,Munich,Milan,2025-09-07 21:09:34,2025-09-07 21:14:34,5
T1286,Trenitalia,Munich,Budapest,2025-09-08 00:59:34,2025-09-08 01:24:34,25
T1287,ÖBB,Brussels,Madrid,2025-09-07 17:54:34,2025-09-07 17:54:34,0
T1288,SNCF,Warsaw,Barcelona,2025-09-07 14:12:34,2025-09-07 14:32:34,20
T1289,ÖBB,Copenhagen,Madrid,2025-09-07 21:34:34,2025-09-07 21:49:34,15
T1290,ÖBB,Brussels,Stockholm,2025-09-07 15:02:34,2025-09-07 16:02:34,60
T1291,Thalys,Vienna,Rome,2025-09-08 04:45:34,2025-09-08 05:05:34,20
T1292,SBB,Berlin,Madrid,2025-09-07 14:23:34,2025-09-07 14:43:34,20
