BagID,PassengerID,TrainID,CheckedIn,LoadedOnTrain
B3076,P2000,T1111,False,False
B3077,P2323,T1215,False,False
B3078,P2166,T1125,True,False
B3079,P2369,T1308,True,False
B3080,P2459,T1327,False,False
B3081,P2166,T1125,True,True
B3082,P2421,T1011,True,True
B3083,P2374,T1416,True,True
B3084,P2131,T1451,True,True
B3085,P2369,T1308,False,False
B3086,P2484,T1029,False,False
B3087,P2445,T1435,False,True
B3088,P2418,T1360,True,True
B3089,P2166,T1125,True,True
B3090,P2297,T1300,False,False
B3091,P2079,T1213,True,True
B3092,P2373,T1375,False,False
B3093,P2188,T1202,True,False
B3094,P2047,T1027,True,True
B3095,P2235,T1029,True,True
B3096,P2096,T1118,False,False
B3097,P2482,T1150,False,True
B3098,P2331,T1336,True,True
B3099,P2158,T1427,True,True
B3100,P2418,T1360,True,True
B3101,P2035,T1498,True,True
B3102,P2218,T1420,True,False
B3103,P2465,T1092,False,False
B3104,P2051,T1234,False,True
B3105,P2372,T1129,True,True
B3106,P2193,T1311,True,True
B3107,P2056,T1145,True,True
B3108,P2067,T1250,True,True
B3109,P2137,T1229,True,True
B3110,P2405,T1046,True,True
B3111,P2277,T1241,False,False
B3112,P2436,T1250,False,True
B3113,P2103,T1409,True,False
B3114,P2388,T1172,False,False
B3115,P2417,T1140,True,False
B3116,P2169,T1195,True,True
B3117,P2124,T1367,True,False
B3118,P2321,T1024,False,True
B3119,P2010,T1152,True,True
B3120,P2278,T1370,True,True
B3121,P2261,T1366,True,True
B3122,P2000,T1111,True,True
B3123,P2116,T1390,True,False
B3124,P2075,T1261,True,False
B3125,P2115,T1466,False,False
B3126,P2351,T1155,False,True
B3127,P2251,T1233,True,True
B3128,P2114,T1259,True,False
B3129,P2182,T1276,True,False
B3130,P2060,T1108,True,True
B3131,P2458,T1272,True,True
B3132,P2091,T1378,True,False
B3133,P2307,T1390,True,False
B3134,P2076,T1338,False,False
B3135,P2319,T1457,True,False
B3136,P2448,T1071,True,False
B3137,P2469,T1181,True,False
B3138,P2477,T1310,True,True
B3139,P2403,T1392,True,True
B3140,P2398,T1364,False,True
B3141,P2163,T1287,True,False
B3142,P2228,T1304,False,False
B3143,P2417,T1140,True,True
B3144,P2295,T1199,True,False
B3145,P2074,T1151,True,False
B3146,P2065,T1410,True,False
B3147,P2180,T1126,True,False
B3148,P2217,T1055,True,False
B3149,P2308,T1258,False,False
B3150,P2070,T1020,False,True
B3151,P2196,T1180,True,False
B3152,P2275,T1437,False,False
B3153,P2272,T1060,False,True
B3154,P2196,T1180,True,False
B3155,P2269,T1139,False,True
B3156,P2359,T1366,True,True
B3157,P2185,T1477,True,True
B3158,P2435,T1005,True,False
B3159,P2285,T1290,True,True
B3160,P2471,T1208,True,True
B3161,P2466,T1132,True,False
B3162,P2434,T1442,True,False
B3163,P2235,T1029,True,False
B3164,P2124,T1367,True,True
B3165,P2028,T1114,False,True
B3166,P2060,T1108,False,True
B3167,P2193,T1311,False,True
B3168,P2356,T1304,True,False
B3169,P2027,T1007,False,True
B3170,P2339,T1030,False,True
B3171,P2244,T1183,False,True
B3172,P2015,T1232,True,False
B3173,P2072,T1223,True,True
B3174,P2039,T1154,True,False
B3175,P2076,T1338,True,False
B3176,P2380,T1095,True,False
B3177,P2240,T1112,True,False
B3178,P2227,T1300,False,True
B3179,P2146,T1421,True,True
B3180,P2030,T1438,False,True
B3181,P2309,T1129,True,True
B3182,P2005,T1243,True,False
B3183,P2348,T1088,True,False
B3184,P2470,T1266,False,False
B3185,P2363,T1471,True,False
B3186,P2476,T1359,True,False
B3187,P2498,T1384,True,False
B3188,P2486,T1179,True,True
B3189,P2205,T1381,False,True
B3190,P2112,T1361,True,True
B3191,P2421,T1011,False,True
B3192,P2418,T1360,False,False
B3193,P2244,T1183,True,False
B3194,P2423,T1144,True,True
B3195,P2027,T1007,True,False
B3196,P2099,T1010,True,True
B3197,P2053,T1427,True,False
B3198,P2308,T1258,True,True
B3199,P2122,T1211,True,True
B3200,P2277,T1241,True,True
B3201,P2108,T1089,False,True
B3202,P2387,T1477,True,True
B3203,P2282,T1295,True,True
B3204,P2123,T1483,True,True
B3205,P2291,T1145,False,True
B3206,P2288,T1168,True,True
B3207,P2024,T1101,True,True
B3208,P2483,T1111,True,True
B3209,P2182,T1276,True,False
B3210,P2256,T1437,True,False
B3211,P2384,T1015,True,False
B3212,P2498,T1384,True,True
B3213,P2169,T1195,True,True
B3214,P2257,T1027,True,True
B3215,P2300,T1235,True,False
B3216,P2300,T1235,True,False
B3217,P2082,T1446,True,False
B3218,P2040,T1297,False,True
B3219,P2487,T1051,False,True
B3220,P2452,T1142,True,True
B3221,P2393,T1316,False,True
B3222,P2493,T1382,False,False
B3223,P2229,T1326,True,False
B3224,P2148,T1355,True,False
B3225,P2020,T1447,False,False
B3226,P2122,T1211,True,True
B3227,P2490,T1202,True,False
B3228,P2049,T1361,True,True
B3229,P2392,T1444,True,True
B3230,P2255,T1325,True,False
B3231,P2160,T1045,True,False
B3232,P2082,T1446,True,False
B3233,P2295,T1199,True,False
B3234,P2045,T1313,True,True
B3235,P2363,T1471,True,False
B3236,P2242,T1413,True,False
B3237,P2332,T1453,True,True
B3238,P2497,T1215,False,False
B3239,P2020,T1447,True,False
B3240,P2205,T1381,True,True
B3241,P2225,T1232,True,False
B3242,P2191,T1125,True,False
B3243,P2259,T1085,True,False
B3244,P2449,T1310,False,True
B3245,P2317,T1086,False,True
B3246,P2379,T1093,True,True
B3247,P2079,T1213,True,False
B3248,P2192,T1491,True,False
B3249,P2437,T1140,True,True
B3250,P2198,T1479,True,True
B3251,P2178,T1237,True,False
B3252,P2328,T1118,False,False
B3253,P2055,T1126,True,True
B3254,P2374,T1416,True,False
B3255,P2393,T1316,True,True
B3256,P2205,T1381,True,True
B3257,P2162,T1443,True,False
B3258,P2108,T1089,False,False
B3259,P2058,T1235,True,False
B3260,P2019,T1433,False,True
B3261,P2485,T1168,True,True
B3262,P2327,T1319,True,False
B3263,P2290,T1013,True,False
B3264,P2031,T1214,True,False
B3265,P2242,T1413,True,True
B3266,P2108,T1089,True,False
B3267,P2138,T1120,True,True
B3268,P2042,T1162,True,True
B3269,P2140,T1053,True,True
B3270,P2152,T1191,False,False
B3271,P2446,T1186,True,True
B3272,P2342,T1162,True,True
B3273,P2425,T1295,True,True
B3274,P2458,T1272,True,False
B3275,P2493,T1382,True,True
B3276,P2101,T1300,True,False
B3277,P2246,T1101,True,True
B3278,P2494,T1056,False,False
B3279,P2181,T1228,False,False
B3280,P2421,T1011,True,True
B3281,P2039,T1154,False,True
B3282,P2165,T1061,False,False
B3283,P2007,T1158,True,False
B3284,P2478,T1089,True,False
B3285,P2442,T1441,True,True
B3286,P2405,T1046,False,False
B3287,P2134,T1014,False,True
B3288,P2230,T1371,True,False
B3289,P2327,T1319,False,True
B3290,P2018,T1056,True,True
B3291,P2215,T1320,False,True
B3292,P2307,T1390,True,True
B3293,P2178,T1237,True,True
B3294,P2497,T1215,False,True
B3295,P2189,T1449,True,True
B3296,P2154,T1024,True,True
B3297,P2358,T1287,True,False
B3298,P2211,T1272,True,False
B3299,P2180,T1126,False,False
B3300,P2267,T1238,True,True
B3301,P2474,T1346,True,False
B3302,P2219,T1391,True,True
B3303,P2283,T1414,False,True
B3304,P2277,T1241,True,False
B3305,P2145,T1325,False,False
B3306,P2324,T1348,True,True
B3307,P2044,T1382,True,True
B3308,P2332,T1453,True,False
B3309,P2053,T1427,True,True
B3310,P2324,T1348,True,True
B3311,P2341,T1121,True,False
B3312,P2108,T1089,True,False
B3313,P2282,T1295,True,True
B3314,P2100,T1176,True,True
B3315,P2179,T1208,True,False
B3316,P2464,T1459,False,False
B3317,P2003,T1358,True,True
B3318,P2259,T1085,True,False
B3319,P2450,T1018,False,False
B3320,P2157,T1289,True,True
B3321,P2002,T1441,True,True
B3322,P2007,T1158,True,True
B3323,P2404,T1487,True,False
B3324,P2171,T1130,True,False
B3325,P2123,T1483,False,False
B3326,P2098,T1059,False,False
B3327,P2424,T1165,True,False
B3328,P2065,T1410,False,False
B3329,P2372,T1129,True,False
B3330,P2462,T1089,True,True
B3331,P2223,T1346,True,True
B3332,P2363,T1471,True,True
B3333,P2323,T1215,False,False
B3334,P2431,T1303,False,False
B3335,P2428,T1347,False,True
B3336,P2485,T1168,True,True
B3337,P2047,T1027,True,True
B3338,P2223,T1346,True,True
B3339,P2014,T1259,False,True
B3340,P2292,T1232,True,True
B3341,P2380,T1095,False,True
B3342,P2232,T1299,False,False
B3343,P2095,T1018,True,True
B3344,P2152,T1191,True,True
B3345,P2371,T1265,True,False
B3346,P2337,T1257,True,False
B3347,P2042,T1162,True,True
B3348,P2326,T1417,False,True
B3349,P2056,T1145,True,True
B3350,P2054,T1298,True,False
B3351,P2134,T1014,True,True
B3352,P2039,T1154,True,False
B3353,P2467,T1193,True,False
B3354,P2051,T1234,True,True
B3355,P2211,T1272,True,False
B3356,P2491,T1456,False,True
B3357,P2107,T1009,False,False
B3358,P2192,T1491,True,False
B3359,P2413,T1054,True,True
B3360,P2152,T1191,True,True
B3361,P2337,T1257,False,True
B3362,P2060,T1108,True,False
B3363,P2247,T1453,False,True
B3364,P2081,T1108,False,False
B3365,P2474,T1346,True,True
B3366,P2310,T1037,True,True
B3367,P2265,T1281,False,True
B3368,P2110,T1249,True,True
B3369,P2460,T1074,True,True
B3370,P2167,T1205,True,True
B3371,P2042,T1162,False,True
B3372,P2137,T1229,True,False
B3373,P2102,T1370,True,False
B3374,P2362,T1250,False,False
B3375,P2239,T1083,False,False
B3376,P2223,T1346,False,False
B3377,P2472,T1373,True,False
B3378,P2088,T1246,True,False
B3379,P2492,T1336,True,True
B3380,P2298,T1003,False,False
B3381,P2084,T1335,True,False
B3382,P2221,T1455,True,False
B3383,P2305,T1453,False,False
B3384,P2417,T1140,True,True
B3385,P2310,T1037,True,False
B3386,P2102,T1370,False,False
B3387,P2191,T1125,False,True
B3388,P2230,T1371,True,True
B3389,P2490,T1202,False,False
B3390,P2300,T1235,True,False
B3391,P2309,T1129,False,False
B3392,P2203,T1056,True,True
B3393,P2092,T1440,True,False
B3394,P2404,T1487,True,False
B3395,P2125,T1205,True,True
B3396,P2336,T1009,True,False
B3397,P2074,T1151,True,True
B3398,P2004,T1243,True,True
B3399,P2367,T1471,True,True
B3400,P2238,T1436,False,False
B3401,P2460,T1074,True,True
B3402,P2197,T1429,True,True
B3403,P2269,T1139,True,True
B3404,P2287,T1032,True,True
B3405,P2293,T1087,False,False
B3406,P2349,T1218,True,False
B3407,P2416,T1074,True,True
B3408,P2100,T1176,True,False
B3409,P2255,T1325,True,False
B3410,P2215,T1320,True,True
B3411,P2231,T1408,True,False
B3412,P2302,T1313,True,True
B3413,P2295,T1199,True,False
B3414,P2009,T1474,False,True
B3415,P2466,T1132,True,False
B3416,P2067,T1250,True,True
B3417,P2458,T1272,False,True
B3418,P2172,T1347,False,True
B3419,P2035,T1498,True,True
B3420,P2424,T1165,True,False
B3421,P2140,T1053,True,False
B3422,P2204,T1337,True,False
B3423,P2252,T1481,False,True
B3424,P2201,T1495,True,False
B3425,P2252,T1481,False,True
B3426,P2431,T1303,True,True
B3427,P2014,T1259,True,True
B3428,P2422,T1178,True,True
B3429,P2053,T1427,True,False
B3430,P2115,T1466,True,True
B3431,P2097,T1283,False,False
B3432,P2417,T1140,False,True
B3433,P2478,T1089,False,True
B3434,P2132,T1199,True,True
B3435,P2024,T1101,True,True
B3436,P2135,T1258,True,False
B3437,P2138,T1120,False,True
B3438,P2473,T1043,True,False
B3439,P2061,T1380,True,False
B3440,P2441,T1032,True,False
B3441,P2326,T1417,True,True
B3442,P2267,T1238,False,True
B3443,P2295,T1199,True,False
B3444,P2499,T1490,True,False
B3445,P2395,T1496,False,False
B3446,P2115,T1466,True,False
B3447,P2392,T1444,True,True
B3448,P2180,T1126,False,True
B3449,P2337,T1257,False,True
B3450,P2355,T1390,True,True
B3451,P2497,T1215,True,True
B3452,P2108,T1089,True,True
B3453,P2239,T1083,True,True
B3454,P2249,T1466,True,False
B3455,P2106,T1155,False,False
B3456,P2389,T1481,True,False
B3457,P2335,T1325,True,True
B3458,P2468,T1347,True,True
B3459,P2469,T1181,True,False
B3460,P2499,T1490,True,True
B3461,P2399,T1407,True,True
B3462,P2035,T1498,True,False
B3463,P2084,T1335,False,False
B3464,P2487,T1051,False,True
B3465,P2075,T1261,True,True
B3466,P2381,T1132,True,True
B3467,P2008,T1439,True,True
B3468,P2136,T1321,True,False
B3469,P2338,T1158,False,False
B3470,P2180,T1126,True,True
B3471,P2474,T1346,False,True
B3472,P2181,T1228,True,True
B3473,P2077,T1393,True,False
B3474,P2260,T1091,True,True
B3475,P2225,T1232,True,False
B3476,P2050,T1020,True,False
B3477,P2374,T1416,True,True
B3478,P2150,T1056,True,False
B3479,P2090,T1216,False,False
B3480,P2271,T1150,False,False
B3481,P2265,T1281,True,True
B3482,P2348,T1088,True,True
B3483,P2490,T1202,True,True
B3484,P2058,T1235,True,True
B3485,P2294,T1056,True,True
B3486,P2033,T1464,False,True
B3487,P2141,T1050,True,False
B3488,P2200,T1046,True,True
B3489,P2112,T1361,False,False
B3490,P2253,T1451,True,True
B3491,P2402,T1222,True,False
B3492,P2326,T1417,True,False
B3493,P2375,T1357,True,True
B3494,P2094,T1052,False,False
B3495,P2378,T1191,True,True
B3496,P2087,T1417,True,True
B3497,P2085,T1155,True,False
B3498,P2460,T1074,True,True
B3499,P2492,T1336,True,False
